09-30 16:02:59 [SUCCESS] nonebot | Succeeded to load plugin "pix_gallery" from "zhenxun.plugins.pix_gallery"
09-30 16:02:59 [SUCCESS] nonebot | Succeeded to load plugin "bilibili_sub" from "zhenxun.plugins.bilibili_sub"
09-30 16:02:59 [SUCCESS] nonebot | Succeeded to load plugin "nbnhhsh" from "zhenxun.plugins.nbnhhsh"
09-30 16:02:59 [SUCCESS] nonebot | Succeeded to load plugin "word_bank:word_handle" from "zhenxun.plugins.word_bank.word_handle"
09-30 16:02:59 [SUCCESS] nonebot | Succeeded to load plugin "word_bank:read_word_bank" from "zhenxun.plugins.word_bank.read_word_bank"
09-30 16:02:59 [SUCCESS] nonebot | Succeeded to load plugin "word_bank:message_handle" from "zhenxun.plugins.word_bank.message_handle"
09-30 16:02:59 [SUCCESS] nonebot | Succeeded to load plugin "word_bank" from "zhenxun.plugins.word_bank"
09-30 16:02:59 [SUCCESS] nonebot | Succeeded to load plugin "open_cases" from "zhenxun.plugins.open_cases"
09-30 16:02:59 [SUCCESS] nonebot | Succeeded to load plugin "wbtop" from "zhenxun.plugins.wbtop"
09-30 16:02:59 [SUCCESS] nonebot | Running NoneBot...
09-30 16:02:59 [INFO] uvicorn | Started server process [9364]
09-30 16:02:59 [INFO] uvicorn | Waiting for application startup.
09-30 16:02:59 [INFO] zhenxun | Database loaded successfully!
09-30 16:02:59 [INFO] nonebot_plugin_apscheduler | Scheduler Started
09-30 16:03:04 [INFO] nonebot_plugin_htmlrender | 使用 chromium 启动
09-30 16:03:06 [INFO] nonebot_plugin_htmlrender | Browser Started.
09-30 16:03:14 [INFO] zhenxun | CMD[Web UI] API启动成功
09-30 16:03:14 [INFO] uvicorn | Application startup complete.
09-30 16:03:14 [INFO] uvicorn | Uvicorn running on http://127.0.0.1:8080 (Press CTRL+C to quit)
09-30 16:03:17 [INFO] uvicorn | ('127.0.0.1', 65532) - "WebSocket /onebot/v11/ws" [accepted]
09-30 16:03:17 [INFO] nonebot | OneBot V11 | Bot 3973508735 connected
09-30 16:03:17 [INFO] websockets | connection open
09-30 16:04:53 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 1290202140 from 843298567@[群:546881717] '[at:qq=3973508735] 有人说你逆天'
09-30 16:04:53 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
09-30 16:04:53 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
09-30 16:04:53 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
09-30 16:04:53 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
09-30 16:04:53 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
09-30 16:04:53 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
09-30 16:04:53 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39)
09-30 16:04:53 [INFO] zhenxun | current key is 你 the text is 有人说你逆天
09-30 16:04:53 [INFO] zhenxun | 用户[843298567] CMD[ai] 问题：有人说你逆天 ---- 回答：在呢在呢！我一直在嘤嘤(╥╯^╰╥)小助手（不是机器人）身边呢（蹭蹭嘤嘤(╥╯^╰╥)小助手（不是机器人））
09-30 16:04:53 [INFO] zhenxun | begin to build uni message!!!
09-30 16:04:54 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39) running complete
09-30 16:05:07 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 2102722291 from 782877431@[群:546881717] '[at:qq=3973508735] 逆天'
09-30 16:05:07 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
09-30 16:05:07 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
09-30 16:05:07 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
09-30 16:05:07 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
09-30 16:05:07 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
09-30 16:05:07 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
09-30 16:05:07 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39)
09-30 16:05:07 [INFO] zhenxun | 用户[782877431] CMD[ai] 问题：逆天 ---- 回答：None
09-30 16:05:11 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39) running complete
09-30 16:11:40 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 1529897176 from 843298567@[群:546881717] '[at:qq=3973508735] 苏州未来七天天气'
09-30 16:11:40 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
09-30 16:11:40 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
09-30 16:11:40 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
09-30 16:11:40 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
09-30 16:11:40 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
09-30 16:11:40 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
09-30 16:11:40 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39)
09-30 16:11:40 [INFO] zhenxun | 用户[843298567] CMD[ai] 问题：苏州未来七天天气 ---- 回答：None
09-30 16:11:55 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39) running complete
09-30 16:12:57 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 1532209250 from 782877431@[群:546881717] '[at:qq=3973508735] 嵊州国庆期间天气'
09-30 16:12:57 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
09-30 16:12:57 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
09-30 16:12:57 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
09-30 16:12:57 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
09-30 16:12:57 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
09-30 16:12:57 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
09-30 16:12:57 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39)
09-30 16:12:58 [INFO] zhenxun | 用户[782877431] CMD[ai] 问题：嵊州国庆期间天气 ---- 回答：None
09-30 16:13:02 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 252918137 from 843298567@[群:546881717] '[at:qq=1095712946][at:qq=954206947] 好像5号有雨，我们五号上午溜'
09-30 16:13:02 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
09-30 16:13:02 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
09-30 16:13:02 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
09-30 16:13:02 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
09-30 16:13:02 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
09-30 16:13:02 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
09-30 16:13:02 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97)
09-30 16:13:02 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97) running complete
09-30 16:13:11 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39) running complete
09-30 16:13:43 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 1730863857 from 843298567@[群:546881717] '嵊州好能下💦啊'
09-30 16:13:43 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
09-30 16:13:43 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
09-30 16:13:43 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
09-30 16:13:43 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
09-30 16:13:43 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
09-30 16:13:43 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
09-30 16:13:43 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97)
09-30 16:13:43 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97) running complete
09-30 16:15:13 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 2000287513 from 1095712946@[群:546881717] '嵊州好能下💦啊'
09-30 16:15:13 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
09-30 16:15:13 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
09-30 16:15:13 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
09-30 16:15:13 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
09-30 16:15:13 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
09-30 16:15:13 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
09-30 16:15:13 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97)
09-30 16:15:13 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97) running complete
09-30 16:16:14 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 953701403 from 499736955@[群:546881717] '嵊州好能下💦啊'
09-30 16:16:14 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
09-30 16:16:14 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
09-30 16:16:14 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
09-30 16:16:14 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
09-30 16:16:14 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
